what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331230829596
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331230851585
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1331230862001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331230895262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331230919042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1331230969814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331230993344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231062569
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331231062742
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331231069695
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331231070618
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331231077300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231086163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231158244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231162215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231321606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231344795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231459571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231468137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331231515551
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1331231526635
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1331231526915
